id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
86042,Cozy attic flat with intimate rooftop terrace,364585,Vin,Centro,Embajadores,40.40894,-3.69766,Entire home/apt,100,2,140,2019-07-13,1.39,5,165
89954,Amazing apt in the historic center,487095,Alicia Y Carlos,Centro,Palacio,40.41218,-3.71369,Entire home/apt,110,2,195,2019-09-15,1.95,1,292
92920,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40.42422,-3.69538,Private room,50,2,86,2019-06-09,0.85,1,346
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40.42462,-3.70352,Private room,32,1,594,2019-09-14,5.83,3,321
96072, Room for rent in Madrid,510570,Laura / Ismael,Tetuán,Cuatro Caminos,40.45559,-3.69421,Private room,25,3,178,2019-08-12,1.99,1,261
100411,Ático muy luminoso,527760,Diana,Fuencarral - El Pardo,Valverde,40.50116,-3.67119,Entire home/apt,60,2,3,2016-06-24,0.07,1,0
101507,NICE FLAT IN THE CENTER OF MADRID,5795235,Elise,Centro,Embajadores,40.40858,-3.70301,Entire home/apt,65,3,57,2019-07-15,0.79,4,323
102040,Nice Single Room with wifi.,533936,Carlos Alberto,Ciudad Lineal,Pueblo Nuevo,40.43331,-3.64355,Private room,20,3,0,,,1,47
102091,Family Apartment Two Bedrooms& Two Bathroom,534128,Laura,Chamberí,Trafalgar,40.43158,-3.70071,Entire home/apt,194,3,8,2017-07-04,0.08,12,321
102194,CHIC APARTMENT CHUECA WiFi & AC,534515,Guillermo,Centro,Justicia,40.42153,-3.69923,Entire home/apt,95,2,17,2019-04-10,0.17,1,272
103541,CENTRAL AND COMFORT APTO. W/PARKING,361930,Maria,Chamberí,Almagro,40.43761,-3.69802,Entire home/apt,75,2,167,2019-09-14,1.67,4,0
109369,RENT ROOM FOR DAYS/ALQUILER HABITACION LUMINOSA,564773,Eva,Fuencarral - El Pardo,Pilar,40.48313,-3.71017,Private room,40,1,8,2019-06-13,0.70,1,339
112650,Madrid center 2 rooms 4 people,574498,Fernando,Centro,Universidad,40.42707,-3.70698,Entire home/apt,75,4,39,2019-06-04,0.71,1,110
114854,NICE CENTRAL TOURISM-BUSINESS APTO,361930,Maria,Chamberí,Rios Rosas,40.43825,-3.69388,Entire home/apt,75,2,103,2019-08-24,1.06,4,287
117919,"Huge, perfect location, AC...!!",557423,Yacob,Centro,Embajadores,40.40743,-3.69828,Entire home/apt,57,3,431,2019-08-05,4.26,1,0
119389,Madrid Apartment Latina,378073,Alvaro,Centro,Palacio,40.40958,-3.71042,Entire home/apt,85,3,71,2019-07-24,0.74,9,322
120293,ROOM IN THE CENTER -LA LATINA- WIFI,605612,Ulises,Centro,Palacio,40.41112,-3.71025,Private room,35,1,183,2019-09-16,1.86,6,356
120762,SHINY ROOM in DOWNTOWN / MALASAÑA!!,606925,Noelia,Centro,Universidad,40.42381,-3.70571,Private room,29,1,218,2019-08-08,2.15,3,230
123864,LOVELY STUDIO IN OLD TOWN-A/C-WIFI,605612,Ulises,Centro,Embajadores,40.4112,-3.70762,Entire home/apt,67,1,509,2019-07-15,5.09,6,143
127819,140 m2 Architect flat center Madrid,632589,Janasor,Centro,Cortes,40.41466,-3.70162,Entire home/apt,200,2,69,2019-09-12,0.81,1,225
132428,Habitacion en Anton Martin,650803,Jose Luis,Centro,Embajadores,40.41034,-3.69836,Private room,26,3,81,2019-09-14,2.90,1,351
136058,"Calm, affordable room in Madrid.",666482,Cinthia,Villaverde,Los Angeles,40.35735,-3.69634,Private room,21,1,72,2018-12-16,0.72,1,170
150123,LOFT ELOISA,723539,Eloisa,Centro,Embajadores,40.40672,-3.70116,Entire home/apt,80,2,22,2019-07-14,0.54,9,61
153798,Apartamento a 20 min del aeropuerto! Y del centro.,739627,Isabel,Hortaleza,Pinar del Rey,40.47851,-3.64418,Private room,40,1,4,2019-09-09,1.17,1,338
154224,NICE FLAT SANTA ANA.45m2 WIFI (A),740087,Jesus&Sonia,Centro,Cortes,40.41493,-3.70105,Entire home/apt,69,3,82,2019-07-29,0.98,8,133
163429,Centrical loft in Madrid (Chamberi),780107,Sonia,Chamberí,Arapiles,40.43628,-3.70526,Entire home/apt,65,90,8,2019-03-17,0.08,1,270
167183,private house B & B. Arturo Soria (Metro),796746,Consuelo,Hortaleza,Piovera,40.45386,-3.64743,Private room,45,1,17,2019-09-15,0.19,2,356
169719,IN THE HEART OF MADRID WITH BALCONY,805726,Patricia,Centro,Cortes,40.41515,-3.70003,Private room,25,2,63,2019-06-09,0.64,5,231
170750,2-bedroom attic & rooftop terrace,814490,Rafael,Centro,Universidad,40.42481,-3.70374,Entire home/apt,90,25,190,2018-12-09,1.98,3,248
171144,Penthouse in PALACIO with 2 ROOMS,816497,Isabel,Centro,Palacio,40.41607,-3.71101,Entire home/apt,150,3,4,2011-12-30,0.04,2,337
176826,Habitacion 6,845399,Daniel,Centro,Universidad,40.4215,-3.70345,Private room,60,1,41,2019-03-30,0.47,10,168
176827,Habitacion 2,845399,Daniel,Centro,Universidad,40.42342,-3.70487,Private room,60,1,193,2019-08-02,2.08,10,166
177500,Fuencarral studio A,596469,Gabriel Avalos,Centro,Universidad,40.42762,-3.70323,Hotel room,80,5,24,2019-06-28,0.27,30,355
177523,Fuencarral Studio A1,596469,Gabriel Avalos,Centro,Universidad,40.42902,-3.70398,Hotel room,80,5,11,2019-07-06,0.11,30,358
177850,Small room in  center of madrid in Malasaña,850654,Laila,Centro,Universidad,40.42623,-3.70462,Private room,19,2,93,2017-12-10,0.99,4,348
183309,CENTRAL REFURBISHED XIX CENTURY FLAT,877571,Lidia,Centro,Justicia,40.42397,-3.69463,Entire home/apt,90,1,6,2017-08-29,0.08,5,0
183346,ROOM IN CENTRAL REFURBISH FLAT,877571,Lidia,Centro,Justicia,40.42339,-3.69475,Private room,30,1,12,2016-05-29,0.17,5,0
183353,ROOM IN CENTRAL GENUINE CHARMINFLAT,877571,Lidia,Centro,Justicia,40.42259,-3.69394,Private room,30,1,40,2016-09-24,0.43,5,0
183435,CENTRAL REFURBISHED GENUINE XIXFLAT,877571,Lidia,Centro,Justicia,40.42396,-3.69545,Entire home/apt,89,1,0,,,5,0
191661,PLAZA MAYOR LOFT the genuine Madrid,927343,Jose,Centro,Sol,40.41516,-3.70731,Entire home/apt,70,3,210,2019-09-02,2.16,3,275
196197,Views of San Andres Baroque from a Central Madrid Apartment,852616,Meyling,Centro,Palacio,40.41088,-3.71098,Entire home/apt,77,3,253,2019-09-15,2.58,2,81
199016,Room in central top floor with 2 terraces,967721,Santi,Centro,Universidad,40.42538,-3.70505,Private room,25,1,24,2019-08-22,0.46,2,271
199201,"Converted theatre, historic centre",749212,Henrietta,Centro,Embajadores,40.41392,-3.70356,Private room,75,3,141,2019-06-17,1.44,1,305
200828,"FRENTE MAR, ZONA CALAS. PISCINA.",75944,Maite,Salamanca,Castellana,40.43186,-3.68515,Entire home/apt,140,7,0,,,1,119
201033,Shiny Room in Malasaña II/Center,606925,Noelia,Centro,Universidad,40.42384,-3.70686,Private room,40,1,43,2019-06-02,0.44,3,324
204570,Lovely 110m2 home - BEST LOCATION !,1004721,Alex,Centro,Cortes,40.41476,-3.69531,Entire home/apt,140,7,97,2019-06-30,1.00,1,288
205199,Tafari Gran Via,1008659,Nuria,Centro,Universidad,40.42063,-3.70539,Entire home/apt,85,3,265,2019-08-25,2.71,2,289
207275,Bedroom with views,124972,Luisa,Moncloa - Aravaca,Argüelles,40.42973,-3.72118,Private room,50,10,6,2019-02-07,0.07,4,350
209373,Attic in the Heart of Madrid-WIFI ,1031664,José,Centro,Embajadores,40.41273,-3.70324,Private room,30,25,33,2019-07-20,0.35,1,181
209780,The Mad B&B - Cool 3BD with Wifi & AC,669927,Diana,Carabanchel,Puerta Bonita,40.37987,-3.73215,Entire home/apt,95,2,175,2019-09-09,1.81,1,184
211444,Private Room in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Hortaleza,Canillas,40.45856,-3.64811,Private room,55,2,100,2019-09-16,1.04,1,310
214000,Emblematic Plaza CHUECA. Quiet. Spacious. Design,927343,Jose,Centro,Justicia,40.42333,-3.69705,Entire home/apt,95,4,151,2019-08-25,1.57,3,287
217674,PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE,1732442,Anouk,Centro,Sol,40.41601,-3.70853,Entire home/apt,145,3,195,2019-08-27,2.04,9,339
219303,*** Malasaña B&B exterior***,499977,Charo,Centro,Universidad,40.42348,-3.70336,Private room,29,1,166,2019-09-14,1.72,3,329
224571,"RIGHT WHERE YOU  WANT TO BE+PC,WIFI",1168897,Carol,Centro,Embajadores,40.40916,-3.70799,Entire home/apt,75,365,8,2013-09-12,0.09,1,365
225462,Bright silent room in the center,1174648,Rebeca,Centro,Cortes,40.41518,-3.6998,Private room,30,2,141,2019-07-14,1.50,1,259
225489,Madrid City Center. Room for 1 or 2 people.,1172225,Eva,Chamberí,Arapiles,40.43423,-3.70703,Private room,25,4,57,2019-07-19,0.68,3,264
229664,Beautiful cozy loft madrid center,1130651,Sergio,Centro,Embajadores,40.40881,-3.70092,Entire home/apt,55,2,462,2019-08-28,4.78,2,335
231861,COMFORTABLE ROOM IN A GREAT AREA!!!,1212528,Silvia,Chamberí,Trafalgar,40.43684,-3.70225,Private room,30,1,0,,,1,88
240128,CHEAP  ROOM ONLY GIRLS OR COUPLES,630482,Raquel,Carabanchel,San Isidro,40.39376,-3.72483,Private room,25,5,77,2019-08-09,0.80,2,230
256004,CASA ARCO CUCHILLEROS-BOTIN,1732442,Anouk,Centro,Sol,40.41523,-3.7065,Entire home/apt,80,2,135,2019-08-11,1.48,9,332
256842,For Family 5p 20 min Puerta del Sol,1351231,Nieves,Latina,Aluche,40.38574,-3.75062,Entire home/apt,98,6,47,2019-06-08,0.50,1,90
259249,2-bedroom flat right in the center.,814490,Rafael,Centro,Universidad,40.42586,-3.71049,Entire home/apt,50,15,86,2017-01-04,0.98,3,327
260656,Quiet duplex apartment in Lavapiés,1367452,Javier,Centro,Embajadores,40.40814,-3.70171,Entire home/apt,83,5,35,2019-06-14,0.38,1,292
260951,"Spectacular Loft ""A"" Ifema  Madrid",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47088,-3.62866,Entire home/apt,145,2,120,2019-09-08,1.33,4,326
261878,GREAT STUDIO! BEST REVIEWS! CENTRAL,1373873,Al,Centro,Universidad,40.42325,-3.70183,Entire home/apt,74,1,445,2019-09-18,4.66,1,58
261959,"ROOM WITH TV, PHONO,WIFI MADRID",1374415,Icar M.,Tetuán,Berruguete,40.45509,-3.70286,Private room,28,1,31,2019-07-30,0.32,1,80
263748,"LOFT ""C"" modern design loft IFEMA",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47198,-3.62952,Entire home/apt,66,2,96,2019-07-14,1.10,4,332
264054,"SINGULAR BUILDING, 5 FLOORS  250m2",1370007,Alvaro,Centro,Universidad,40.4262,-3.70319,Entire home/apt,480,2,16,2019-05-19,0.17,1,342
268275,Madrid center with balconies,1406073,Jose Antonio,Centro,Embajadores,40.41236,-3.70284,Entire home/apt,75,2,58,2019-04-08,0.62,1,312
280733,Gran Via apartment I,596469,Gabriel Avalos,Centro,Universidad,40.42419,-3.70835,Hotel room,90,5,28,2019-07-01,0.37,30,330
281224,UNIQUE in Opera Royal Palace!!!,1466005,Pe,Centro,Palacio,40.41635,-3.70986,Entire home/apt,72,2,84,2019-09-15,2.30,1,341
282195,Winter Offer 40m2 Wifi. Centre O,740087,Jesus&Sonia,Centro,Cortes,40.41365,-3.70072,Entire home/apt,59,3,35,2019-09-16,0.45,8,136
282196,"COZY FLAT, SANTA ANA,40m2,WIFI (I)",740087,Jesus&Sonia,Centro,Cortes,40.41454,-3.70121,Entire home/apt,59,3,62,2019-07-28,0.68,8,121
282715,"Cozy and Luxury penthouse, Madrid",1473247,Marta,Salamanca,Recoletos,40.42688,-3.6852,Entire home/apt,169,2,94,2019-07-13,1.05,1,331
283862,"CENTER
HISTORICAL, SOL, DUPLEX",1478367,Amalia,Centro,Sol,40.4179,-3.70819,Entire home/apt,85,1,26,2019-08-08,0.52,1,87
287660,Beatiful downtown room with balcony,1496188,Juanpe,Centro,Universidad,40.42555,-3.71087,Private room,30,1,11,2014-11-08,0.12,2,0
289555,Casa Museo del Prado-Private room.,901218,Myrko,Centro,Cortes,40.4176,-3.69808,Private room,58,3,167,2019-08-28,2.27,25,0
290420,"BARIO LA LATINA, HABITACIONES",805726,Patricia,Latina,Puerta del Angel,40.41136,-3.72456,Private room,20,2,33,2019-04-21,0.36,5,322
294520,rented room in the center of madrid,1522694,Isdel Pablo,Centro,Justicia,40.42283,-3.70064,Private room,60,2,16,2019-07-07,0.29,4,342
294529,Centro de Madrid. Room 3,1522694,Isdel Pablo,Centro,Justicia,40.42203,-3.69898,Private room,43,4,51,2019-06-13,0.55,4,356
296191,Room Callao Madrid center,845399,Daniel,Centro,Universidad,40.42288,-3.7034,Private room,60,1,10,2012-12-14,0.11,10,169
297017,Charming Prado Luxury,4677030,Jaime,Centro,Cortes,40.41472,-3.69533,Entire home/apt,110,3,38,2019-06-28,0.85,13,74
310333,"Central, cute & Art Apartment",1596220,Paloma,Centro,Embajadores,40.40779,-3.69614,Entire home/apt,80,3,90,2019-08-25,1.05,1,318
310678,Precioso apartamento en Gran Via,1598163,Soledad,Centro,Universidad,40.42248,-3.70891,Entire home/apt,68,3,298,2019-09-18,3.20,1,31
315682,QUIET and SPACIOUS .  Heart of Malasaña.Madrid.,1095831,Rosalind  & Tino,Centro,Universidad,40.42579,-3.70526,Entire home/apt,155,3,194,2019-07-07,2.13,4,330
318826,Wonderful apartment. JUST REMODELED,1636378,Francisco Tomas,Latina,Aluche,40.39382,-3.75871,Entire home/apt,90,6,13,2019-04-15,0.14,1,297
322548,Terrace La Latina,1650712,Ximena,Centro,Embajadores,40.4112,-3.70741,Entire home/apt,116,2,28,2019-03-03,0.41,26,318
333974,Winter froml 34€per.Centric.Wifi E,740087,Jesus&Sonia,Centro,Cortes,40.41433,-3.70123,Entire home/apt,59,3,55,2019-09-02,0.64,8,125
334281,Heart of Madrid - 2 bedroom flat,1702905,Sió,Centro,Embajadores,40.41059,-3.7034,Entire home/apt,75,3,221,2019-09-11,2.54,1,320
336672,Great apartment ∞4 rooms∞ close to City Center,1716726,Jesús,Arganzuela,Delicias,40.39548,-3.69392,Entire home/apt,115,2,42,2019-09-08,1.94,5,55
336834,2 bedroom apartament in Chueca-Fuen,1713427,Helena,Centro,Justicia,40.42295,-3.69552,Entire home/apt,63,5,42,2019-07-09,0.46,1,229
336869,Direct to Plaza Mayor!,1713524,Oliver,Centro,Sol,40.41452,-3.70774,Private room,100,2,105,2018-10-09,1.17,2,0
337209,DISCOVER MADRID CENTRAL AREA WIFI,1714541,Ignacio,Retiro,Pacífico,40.4065,-3.67233,Private room,24,2,164,2019-08-18,1.91,9,116
337292,Principe de Vergara. Homey Room,1714866,Francisco,Chamartín,Ciudad Jardín,40.44859,-3.67746,Private room,35,2,7,2017-04-18,0.08,1,0
339144,COZY APARTMENT MADRID MALASAÑA,1721158,Pau&Patricia,Centro,Universidad,40.42836,-3.7056,Entire home/apt,63,15,124,2019-08-31,1.37,2,221
339171,PRADO MUSEUM AIR & OnSiteParking (*),1722284,Cesar,Centro,Cortes,40.41281,-3.6956,Entire home/apt,82,3,146,2019-06-18,1.62,2,191
339751,Madrid Centro 1to6 people Metro Bus wifi.TWO ROOMS,1721232,Juan Manuel,Latina,Puerta del Angel,40.40713,-3.73971,Private room,22,2,103,2019-09-16,2.39,1,161
341939,Self-catering Apartment in Madrid,1694537,Miguel Angel & Iaia,Centro,Embajadores,40.41047,-3.70207,Entire home/apt,55,3,164,2019-08-30,1.79,1,178
342095,Lovely apartment CENTRAL MADRID !,1703448,Elena,Centro,Embajadores,40.40872,-3.69919,Entire home/apt,79,3,31,2019-05-27,0.35,2,270
342557,Berlin's Park at your window. Parking included.,1738288,Jose Angel,Chamartín,Ciudad Jardín,40.44931,-3.67424,Private room,75,2,52,2019-06-03,0.72,1,361
342670,beautiful apartament & cozy terrace,1738846,Carlos,Arganzuela,Palos de Moguer,40.40522,-3.69454,Entire home/apt,65,3,30,2019-08-15,0.36,1,137
342952,Special price 29€ per.Center.Wifi U,740087,Jesus&Sonia,Centro,Cortes,40.4144,-3.70126,Entire home/apt,59,3,99,2019-09-08,1.11,8,134
345195,DUPLO Heart of Madrid/Malasaña,1095831,Rosalind  & Tino,Centro,Universidad,40.42371,-3.70393,Entire home/apt,81,3,4,2019-04-11,0.05,4,333
345230,GOYA (Website hidden by Airbnb) of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.4238,-3.70467,Private room,70,3,4,2019-04-11,0.07,4,333
345233,MIRO (Website hidden by Airbnb) of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.42359,-3.70396,Private room,70,3,4,2018-12-15,0.06,4,333
345249,CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT,1751133,The Punset Family,Tetuán,Almenara,40.47293,-3.68945,Entire home/apt,130,2,27,2018-10-19,0.34,2,311
347510,Classy Central Family Alcalá Deluxe,1751133,The Punset Family,Salamanca,Guindalera,40.4302,-3.66484,Entire home/apt,135,2,42,2019-09-07,0.47,2,295
353713,PRIVATE ROOM. HEART OF MADRID.,1791341,Rosario,Centro,Palacio,40.41935,-3.71162,Private room,52,4,305,2019-09-01,5.00,2,212
353746,CENTRIC APT. MALSAÑA & CHUECA,1791341,Rosario,Centro,Universidad,40.42723,-3.70959,Entire home/apt,77,15,128,2019-07-21,2.61,2,251
354838,Entire apartment Plaza de España!,1496188,Juanpe,Centro,Universidad,40.42479,-3.70896,Entire home/apt,70,20,38,2018-07-03,0.42,2,0
361053,"Cozy, luminous  excellenty placed",1729503,Ana,Retiro,Niño Jesús,40.40976,-3.67544,Entire home/apt,100,2,149,2019-09-04,1.64,3,29
363476,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Centro,Sol,40.4175,-3.70676,Private room,49,2,364,2019-09-15,4.02,1,317
370815,Beautiful light attic! very central,1868359,Anna,Centro,Embajadores,40.41177,-3.69985,Entire home/apt,70,2,156,2019-03-19,1.72,1,109
374465,ROOM  IN MADRID CENTRAL AREA,1714541,Ignacio,Retiro,Pacífico,40.40573,-3.67396,Private room,22,2,55,2019-07-24,0.62,9,127
375472,Host family in the center of Madrid,1888816,Margarita Y María,Arganzuela,Acacias,40.40266,-3.70374,Private room,24,6,137,2019-08-13,1.59,4,227
376379,Great Studio for Rent in Madrid,1892467,Laura,Centro,Embajadores,40.40995,-3.6971,Entire home/apt,50,3,17,2019-08-23,0.24,3,211
377151,private house in elegant neiborhood,1895571,Lola,Salamanca,Fuente del Berro,40.42258,-3.66275,Private room,30,2,30,2019-08-05,0.42,2,0
378899,Your home in Madrid!,1902834,Enric,Arganzuela,Palos de Moguer,40.40442,-3.69256,Entire home/apt,70,5,28,2018-07-15,0.31,1,140
396532,"Apart. 25mts from Gran Via,exterior",1981346,Daniel,Centro,Universidad,40.42182,-3.70389,Entire home/apt,105,2,114,2019-06-02,1.27,1,234
397778,PUERTA DEL SOL VI - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41456,-3.70437,Entire home/apt,77,3,30,2019-04-13,0.39,56,318
399140,ATOCHA II - MADRID CITY CENTRE,1408525,Mad4Rent,Arganzuela,Palos de Moguer,40.40642,-3.6951,Entire home/apt,66,3,32,2019-08-13,0.39,56,274
400139,"Nice double room, near every where",1893660,Felipe,Retiro,Estrella,40.40782,-3.66904,Private room,24,7,137,2019-05-29,1.55,1,114
402588,PUERTA DEL SOL l - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41596,-3.70302,Entire home/apt,82,3,127,2019-09-17,1.60,56,300
404569,GRAN VIA  -  Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,Universidad,40.42342,-3.70454,Entire home/apt,88,3,39,2019-06-29,0.70,56,341
405786,PLAZA DE LA CEBADA  -  SPACIOUS,1408525,Mad4Rent,Centro,Palacio,40.41043,-3.70944,Entire home/apt,85,5,11,2019-06-24,0.17,56,0
406341,"Quiet downtown Madrid, nearby all",2024487,Fernando,Salamanca,Goya,40.42823,-3.67776,Private room,24,3,114,2019-08-09,1.26,1,237
406697,Lovely & Cozy Apartment Center,1973909,Jose Y Ana,Centro,Cortes,40.41262,-3.69882,Entire home/apt,56,2,383,2019-03-23,4.23,1,0
410699,80m2 spacious bright loft apartment,2044655,Sylvia,Centro,Sol,40.41736,-3.70012,Entire home/apt,155,3,139,2019-09-15,1.54,6,160
413240,An oasis in the city of Madrid,2056009,Irma,Chamartín,Hispanoamérica,40.45337,-3.67086,Private room,48,2,96,2019-09-10,1.07,1,345
414763,LATINA - lV - STUDIO MADRID CENTRE,1408525,Mad4Rent,Centro,Palacio,40.41282,-3.70749,Entire home/apt,66,3,27,2019-09-10,0.32,56,328
415967, LAVAPIES CLASSY (CENTER TOWN),2068619,Alfonso,Centro,Embajadores,40.40781,-3.70245,Entire home/apt,75,2,153,2019-05-27,1.69,1,0
420039,Bonito estudio en pleno centro,9934732,Fernando Javier,Centro,Universidad,40.42602,-3.70502,Entire home/apt,38,1,582,2019-08-28,6.55,5,270
423655,Tribunal Apartment,1719263,Leticia,Centro,Justicia,40.42638,-3.69957,Entire home/apt,100,5,2,2014-09-06,0.02,2,240
424008,Nice private room in Madrid center,2107994,Giuseppe,Centro,Justicia,40.42146,-3.69941,Private room,43,3,13,2017-05-02,0.15,1,361
424816,Habitación privada en apartamento..,2111994,Carolina,Tetuán,Cuatro Caminos,40.45483,-3.69994,Private room,40,7,4,2017-05-31,0.06,2,323
427488,100 M CASA PRECIOSA CENTRO MADRID,2124765,Sara,Chamberí,Trafalgar,40.4313,-3.70177,Entire home/apt,200,1,4,2014-07-21,0.05,1,287
429306,2 Bedroom Apartment - Center Madrid - ST,2134007,Lola,Centro,Universidad,40.42961,-3.70851,Entire home/apt,120,3,173,2019-09-11,1.96,1,274
429942,Flat for 4/6 in central Madrid!,1450430,Fanny,Tetuán,Bellas Vistas,40.44798,-3.70589,Entire home/apt,80,5,23,2018-12-29,0.26,1,323
431806,CHARMING SUITE IN MADRID'S LEDGE,2146727,Carlos,Moncloa - Aravaca,Casa de Campo,40.42934,-3.72229,Private room,35,55,100,2019-08-25,1.12,3,274
434874,GRAN VIA - Vl - MODERNIST & CENTRIC,1408525,Mad4Rent,Centro,Universidad,40.42066,-3.70494,Entire home/apt,90,3,23,2019-09-13,0.30,56,319
435010,Cute penthouse room in Madrid!!!,2160658,Ana,Centro,Palacio,40.41257,-3.70872,Private room,25,2,190,2019-09-01,2.15,1,322
437670,"LA LATINA, MAGNÍFICAS HABITACIONES",805726,Patricia,Latina,Puerta del Angel,40.41155,-3.72371,Private room,25,6,8,2018-10-31,0.10,5,322
439699,Madrid center - right in Malasaña!,2184051,Emilio,Centro,Universidad,40.42353,-3.70308,Entire home/apt,70,1,501,2019-09-13,5.57,4,282
440596,Quiet Central Apartment with WiFi,1280726,Mallory,Chamberí,Trafalgar,40.42897,-3.69711,Entire home/apt,30,3,7,2012-09-23,0.08,1,0
442986,madrid center chueca house wiffi,2201302,Cesar,Centro,Justicia,40.42414,-3.69764,Entire home/apt,85,2,14,2019-07-07,0.16,1,219
449218,"Central, fully equipped, best price",2230279,Marina,Chamberí,Trafalgar,40.42976,-3.70259,Entire home/apt,48,3,264,2019-08-04,2.96,1,161
449494,"central, cheap, basic apartment",814490,Rafael,Centro,Universidad,40.42595,-3.71,Entire home/apt,55,4,87,2018-05-13,0.97,3,0
456165,Nice room in Madrid,617086,Agata,Carabanchel,Comillas,40.3909,-3.71202,Private room,30,2,4,2019-06-23,0.15,1,79
459303,GRAN VIA - l - CENTRAL & BRIGHT,1408525,Mad4Rent,Centro,Universidad,40.42524,-3.70504,Entire home/apt,81,3,14,2019-06-23,0.24,56,315
459362,PUERTA DEL SOL- ll - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41661,-3.70282,Entire home/apt,82,3,28,2019-09-02,0.46,56,323
