Area	Region	palmitic	palmitoleic	stearic	oleic	linoleic	linolenic	arachidic	eicosenoic	Test/Training
South-Apulia	South	1297	153	177	7004	1260	35	60	16	Training
South-Apulia	South	1248	163	158	7103	1222	31	60	14	Training
South-Apulia	South	1335	159	197	6974	1220	36	60	17	Training
South-Apulia	South	1219	167	171	7087	1254	35	50	16	Training
South-Apulia	South	1318	179	177	7030	1194	35	42	25	Training
South-Apulia	South	1264	167	166	7130	1187	22	52	12	Training
South-Apulia	South	1201	175	201	7129	1193	36	49	15	Training
South-Apulia	South	1252	180	181	7055	1214	31	59	38	Training
South-Apulia	South	1273	182	209	6965	1191	43	74	23	Training
South-Apulia	South	1336	155	212	7103	1086	33	55	20	Training
South-Apulia	South	1499	201	182	6803	1204	30	56	24	Training
South-Apulia	South	1358	204	227	6962	1109	41	65	34	Training
South-Apulia	South	1346	181	257	7147	933	40	60	36	Training
South-Apulia	South	1311	166	222	7006	1147	41	80	27	Training
South-Apulia	South	1314	171	229	6923	1198	47	76	42	Training
South-Apulia	South	1409	200	207	6842	1224	31	60	27	Training
South-Apulia	South	1342	174	221	6993	1147	36	64	23	Training
South-Apulia	South	1387	182	206	7100	1020	34	54	17	Training
South-Apulia	South	1413	202	205	6920	1165	36	46	13	Training
South-Apulia	South	1372	200	200	6916	1189	33	50	22	Training
South-Apulia	South	1321	209	217	6948	1178	42	62	23	Training
South-Apulia	South	1401	200	217	6980	1073	40	68	21	Training
South-Apulia	South	1401	214	217	6734	1293	44	69	27	Training
South-Apulia	South	1457	168	242	6724	1266	54	59	30	Training
South-Apulia	South	1438	206	248	6806	1183	34	57	28	Training
South-Apulia	South	1462	204	237	6644	1309	42	54	28	Training
South-Apulia	South	1529	215	203	6602	1310	45	69	27	Training
South-Apulia	South	1510	189	245	6752	1188	36	52	28	Training
South-Apulia	South	1437	222	184	6803	1240	43	56	16	Training
South-Apulia	South	1327	129	247	7024	1157	38	56	22	Training
South-Apulia	South	1438	172	252	6630	1380	40	64	24	Training
South-Apulia	South	1447	176	189	6849	1180	42	64	26	Training
South-Apulia	South	1369	156	241	6890	1209	42	63	30	Training
South-Apulia	South	1471	188	276	6697	1269	34	51	16	Training
South-Apulia	South	1456	179	240	6738	1267	41	65	14	Training
South-Apulia	South	1314	140	207	7020	1220	28	59	12	Training
South-Apulia	South	1408	176	192	6909	1195	45	50	25	Training
South-Apulia	South	1397	172	191	7107	1018	36	50	29	Training
South-Apulia	South	1413	191	186	6937	1180	31	46	13	Training
South-Apulia	South	1539	194	213	6764	1178	38	58	16	Training
South-Apulia	South	1304	159	234	7019	1174	38	53	19	Training
South-Apulia	South	1508	208	249	6641	1311	25	43	20	Training
South-Apulia	South	1262	165	235	7120	1113	32	51	21	Training
South-Apulia	South	1307	197	238	7003	1144	37	50	24	Training
South-Apulia	South	1294	159	253	7009	1190	30	52	13	Training
South-Apulia	South	1460	187	215	6843	1172	35	56	32	Training
South-Apulia	South	1388	176	185	7008	1111	48	53	31	Training
South-Apulia	South	1206	218	242	7193	1002	37	54	25	Training
South-Apulia	South	1383	157	217	7018	1090	40	60	37	Training
South-Apulia	South	1350	168	227	6986	1165	29	58	17	Training
South-Apulia	South	1298	166	224	6986	1162	34	65	31	Training
South-Apulia	South	1347	197	211	6795	1300	32	59	34	Training
South-Apulia	South	1339	170	253	6989	1110	29	63	23	Training
South-Apulia	South	1388	183	216	6867	1208	28	61	21	Training
South-Apulia	South	1527	260	232	6488	1370	31	45	20	Training
South-Apulia	South	1495	237	236	6571	1318	32	58	26	Training
South-Apulia	South	1487	246	251	6504	1390	29	53	19	Training
South-Apulia	South	1339	166	226	6928	1198	30	60	23	Training
South-Apulia	South	1482	246	238	6444	1462	27	50	20	Training
South-Apulia	South	1434	172	255	6646	1354	27	59	25	Training
South-Apulia	South	1347	156	214	6850	1313	25	48	19	Training
South-Apulia	South	1340	158	233	6848	1272	32	63	25	Training
South-Apulia	South	1453	180	244	6752	1238	34	54	23	Training
South-Apulia	South	1306	149	226	7082	1097	33	61	24	Training
South-Apulia	South	1349	161	217	6997	1138	31	62	23	Training
South-Apulia	South	1168	144	220	7230	1109	31	52	28	Training
South-Apulia	South	1390	184	212	6898	1189	29	44	19	Training
South-Apulia	South	1283	149	224	7077	1104	30	57	32	Training
South-Apulia	South	1214	137	232	7269	1005	32	55	23	Training
South-Apulia	South	1439	183	218	6775	1226	32	66	29	Training
South-Apulia	South	1387	154	204	6991	1090	34	74	32	Training
South-Apulia	South	1426	169	192	7025	1043	31	64	27	Training
South-Apulia	South	1451	200	208	6980	1006	30	62	31	Training
South-Apulia	South	1493	204	188	6913	1044	32	61	35	Training
South-Apulia	South	1342	177	199	7172	952	34	65	33	Training
South-Apulia	South	1440	196	208	6938	1070	32	61	26	Training
South-Apulia	South	1460	215	197	6918	1081	28	55	23	Training
South-Apulia	South	1249	133	205	7417	827	33	72	33	Training
South-Apulia	South	1348	159	238	7017	1081	31	67	25	Training
South-Apulia	South	1341	155	244	6958	1144	32	68	26	Training
South-Apulia	South	1398	149	204	7182	907	29	76	30	Training
South-Apulia	South	1454	200	199	6910	1090	30	62	25	Training
South-Apulia	South	1334	153	219	6928	1214	33	66	24	Training
South-Apulia	South	1438	204	189	7107	910	33	63	27	Training
South-Apulia	South	1303	138	212	7170	1016	34	69	25	Training
South-Apulia	South	1323	147	210	7108	1070	33	61	20	Training
South-Apulia	South	1417	169	207	6875	1184	34	57	27	Training
South-Apulia	South	1360	167	225	6883	1220	31	55	27	Training
South-Apulia	South	1368	174	205	7042	1066	31	57	26	Training
South-Apulia	South	1367	173	228	6948	1141	32	53	24	Training
South-Apulia	South	1403	173	209	6843	1210	33	63	33	Training
South-Apulia	South	1201	138	207	7011	1269	37	64	35	Training
South-Apulia	South	1359	180	207	6895	1203	33	61	30	Training
South-Apulia	South	1518	198	225	6681	1243	29	57	24	Training
South-Apulia	South	1434	185	189	6771	1269	30	62	25	Training
South-Apulia	South	1367	162	179	6772	1368	33	64	27	Training
South-Apulia	South	1461	181	197	6783	1246	26	57	23	Training
South-Apulia	South	1368	161	198	7030	1095	33	59	31	Training
South-Apulia	South	1419	159	215	6862	1193	35	60	31	Training
South-Apulia	South	1514	162	298	6725	1119	45	93	30	Training
South-Apulia	South	1328	171	253	6987	1030	38	83	39	Training
South-Apulia	South	1283	153	196	7107	1115	37	60	28	Training
South-Apulia	South	1369	158	215	7160	958	38	69	32	Training
South-Apulia	South	1353	172	175	6965	1212	28	75	19	Training
South-Apulia	South	1187	139	185	7427	952	29	56	22	Training
South-Apulia	South	1620	255	166	6628	1212	29	62	27	Training
South-Apulia	South	1543	172	193	6740	1157	52	87	34	Training
South-Apulia	South	1399	169	171	7011	1100	36	72	16	Training
South-Apulia	South	1293	156	191	7101	1111	32	60	31	Training
South-Apulia	South	1420	175	152	7004	1149	27	50	20	Training
South-Apulia	South	1721	238	255	6300	1350	35	70	28	Training
South-Apulia	South	1742	221	156	6415	1315	43	82	23	Training
South-Apulia	South	1391	187	189	6975	1062	52	70	45	Training
South-Apulia	South	1517	206	249	6680	1205	33	80	27	Training
South-Apulia	South	1577	204	208	6732	1183	20	52	20	Training
South-Apulia	South	1590	241	195	6705	1149	27	68	21	Training
South-Apulia	South	1621	280	197	6608	1179	28	58	27	Training
South-Apulia	South	1753	275	236	6367	1214	23	61	27	Training
South-Apulia	South	1679	260	177	6568	1191	30	59	33	Training
South-Apulia	South	1693	236	174	6499	1204	51	102	37	Training
South-Apulia	South	1692	270	234	6499	1196	31	59	15	Training
South-Apulia	South	1638	252	215	6570	1199	39	53	29	Training
South-Apulia	South	1442	222	194	6677	1314	36	72	38	Training
South-Apulia	South	1680	270	170	6440	1310	31	62	28	Training
South-Apulia	South	1463	164	185	6909	1154	49	58	17	Training
Sicily	South	1222	133	227	7425	824	36	69	35	Training
Sicily	South	1345	133	272	6801	1194	48	83	37	Training
Sicily	South	1112	68	375	7770	448	52	69	45	Training
Sicily	South	1222	70	329	7605	566	48	67	43	Training
Sicily	South	1136	72	341	7616	661	49	65	32	Training
Sicily	South	926	41	277	7815	784	45	65	25	Training
Sicily	South	1109	79	305	7576	763	45	64	36	Training
Sicily	South	1284	93	265	7235	893	43	77	46	Training
Sicily	South	1120	69	277	7416	946	42	59	36	Training
Sicily	South	916	52	281	7870	694	42	64	58	Training
Sicily	South	905	49	288	7747	812	49	71	56	Training
Sicily	South	1206	55	287	7329	935	44	74	42	Training
Sicily	South	1457	182	267	7020	863	41	84	37	Training
Sicily	South	1303	100	251	7045	1049	40	86	40	Training
Sicily	South	1444	175	259	6876	1027	34	78	32	Training
Sicily	South	1505	243	226	6962	858	30	72	27	Training
Sicily	South	1429	162	223	6917	1041	37	77	40	Training
Sicily	South	1393	128	211	7189	870	38	93	40	Training
Sicily	South	1404	134	210	7110	923	40	101	43	Training
Sicily	South	1169	76	307	7553	728	43	69	32	Training
Sicily	South	1369	104	237	7375	775	39	70	15	Training
Sicily	South	993	58	267	7743	773	41	62	44	Training
Sicily	South	980	53	254	7719	815	44	69	47	Training
Sicily	South	967	55	273	7692	833	45	63	47	Training
Sicily	South	1128	73	354	7527	728	44	76	38	Training
Sicily	South	1188	85	273	7445	814	44	73	42	Training
Sicily	South	1257	95	247	7405	812	43	70	35	Training
Inland-Sardinia	Sardinia	1129	120	222	7272	1112	43	98	2	Training
Inland-Sardinia	Sardinia	1042	135	210	7376	1116	35	90	3	Training
Inland-Sardinia	Sardinia	1103	96	210	7380	1085	32	94	3	Training
Inland-Sardinia	Sardinia	1118	97	221	7279	1154	35	94	2	Training
Inland-Sardinia	Sardinia	1052	95	215	7388	1126	31	92	1	Training
Inland-Sardinia	Sardinia	1116	102	231	7290	1168	26	66	1	Training
Inland-Sardinia	Sardinia	1129	108	212	7386	1074	28	62	3	Training
Inland-Sardinia	Sardinia	1085	91	223	7384	1126	28	62	3	Training
Inland-Sardinia	Sardinia	1098	88	212	7338	1140	28	67	1	Training
Inland-Sardinia	Sardinia	1108	92	231	7367	1110	29	62	3	Training
Inland-Sardinia	Sardinia	1075	103	207	7413	1096	32	68	2	Training
Inland-Sardinia	Sardinia	1059	96	228	7386	1128	25	72	2	Training
Inland-Sardinia	Sardinia	1159	98	213	7320	1108	38	64	1	Training
Inland-Sardinia	Sardinia	1132	80	201	7398	1095	27	67	2	Training
Inland-Sardinia	Sardinia	1119	81	219	7409	1057	33	81	2	Training
Inland-Sardinia	Sardinia	1106	93	212	7381	1104	35	68	1	Training
Inland-Sardinia	Sardinia	1047	101	238	7385	1120	28	89	1	Training
Inland-Sardinia	Sardinia	1165	99	214	7331	1101	22	67	3	Training
Inland-Sardinia	Sardinia	1095	88	203	7415	1093	37	78	1	Training
Inland-Sardinia	Sardinia	1176	75	205	7396	1107	33	74	2	Training
Inland-Sardinia	Sardinia	1103	109	220	7335	1140	28	59	2	Training
Inland-Sardinia	Sardinia	1080	98	219	7371	1125	33	78	1	Training
Inland-Sardinia	Sardinia	1051	108	227	7403	1114	30	66	3	Training
Inland-Sardinia	Sardinia	1096	84	211	7415	1091	30	71	2	Training
Inland-Sardinia	Sardinia	1047	96	236	7399	1107	32	80	3	Training
Inland-Sardinia	Sardinia	1075	91	200	7410	1107	36	80	1	Training
Inland-Sardinia	Sardinia	1092	106	219	7427	1125	33	77	1	Training
Inland-Sardinia	Sardinia	1076	95	204	7408	1130	27	79	2	Training
Inland-Sardinia	Sardinia	1178	89	201	7381	1099	34	87	2	Training
Inland-Sardinia	Sardinia	1095	104	223	7367	1111	43	56	2	Training
Inland-Sardinia	Sardinia	1051	78	211	7421	1146	30	82	2	Training
Inland-Sardinia	Sardinia	1048	79	213	7439	1130	28	61	2	Training
Inland-Sardinia	Sardinia	1061	86	220	7421	1102	29	79	3	Training
Inland-Sardinia	Sardinia	1105	88	210	7353	1142	28	72	1	Training
Inland-Sardinia	Sardinia	1049	96	219	7303	1168	22	47	2	Training
Inland-Sardinia	Sardinia	1105	120	218	7302	1158	23	45	3	Training
Inland-Sardinia	Sardinia	1030	84	214	7403	1177	21	70	1	Training
Inland-Sardinia	Sardinia	1070	98	215	7280	1240	28	68	3	Training
Inland-Sardinia	Sardinia	1118	85	199	7415	1060	36	86	3	Training
Inland-Sardinia	Sardinia	1065	98	230	7345	1163	24	74	1	Training
Inland-Sardinia	Sardinia	1131	78	221	7358	1120	22	69	2	Training
Inland-Sardinia	Sardinia	1080	120	218	7296	1145	35	105	2	Training
Inland-Sardinia	Sardinia	1075	86	231	7403	1109	22	73	3	Training
Inland-Sardinia	Sardinia	1040	103	228	7364	1173	25	66	2	Training
Inland-Sardinia	Sardinia	1128	82	203	7320	1148	30	88	1	Training
Inland-Sardinia	Sardinia	1060	111	231	7363	1149	20	65	1	Training
Inland-Sardinia	Sardinia	1103	78	220	7365	1149	20	65	2	Training
Inland-Sardinia	Sardinia	1091	108	218	7383	1183	28	88	3	Training
Inland-Sardinia	Sardinia	1094	96	220	7341	1127	26	96	2	Training
Coast-Sardinia	Sardinia	1135	98	251	7120	1314	20	61	2	Training
Coast-Sardinia	Sardinia	1158	108	245	7065	1326	22	75	1	Training
Coast-Sardinia	Sardinia	1133	110	241	7080	1342	21	68	3	Training
Coast-Sardinia	Sardinia	1201	87	238	6990	1383	25	75	3	Training
Coast-Sardinia	Sardinia	1213	112	245	7007	1335	22	65	3	Training
Coast-Sardinia	Sardinia	1166	97	272	6971	1390	20	83	3	Training
Coast-Sardinia	Sardinia	1154	119	257	7130	1253	22	61	1	Training
Coast-Sardinia	Sardinia	1177	111	241	6882	1470	22	95	2	Training
Coast-Sardinia	Sardinia	1160	96	240	7043	1357	24	79	2	Training
Coast-Sardinia	Sardinia	1122	104	241	7145	1313	15	58	1	Training
Coast-Sardinia	Sardinia	1132	99	257	7065	1362	24	90	3	Training
Coast-Sardinia	Sardinia	1096	100	260	7162	1282	25	74	2	Training
Coast-Sardinia	Sardinia	1131	87	233	7144	1307	25	72	3	Training
Coast-Sardinia	Sardinia	1184	105	258	7020	1340	26	66	2	Training
Coast-Sardinia	Sardinia	1135	94	235	7123	1320	24	67	2	Training
Coast-Sardinia	Sardinia	1140	95	258	7085	1347	23	71	3	Training
Coast-Sardinia	Sardinia	1138	101	254	7103	1310	25	68	1	Training
Coast-Sardinia	Sardinia	1159	110	261	7068	1297	27	77	2	Training
Coast-Sardinia	Sardinia	1131	87	208	7170	1308	28	57	2	Training
Coast-Sardinia	Sardinia	1175	108	214	7076	1307	33	85	2	Training
Coast-Sardinia	Sardinia	1076	77	202	7243	1305	29	67	1	Training
Coast-Sardinia	Sardinia	1120	90	240	7068	1383	23	75	1	Training
Coast-Sardinia	Sardinia	1152	111	238	7080	1372	25	81	2	Training
Coast-Sardinia	Sardinia	1126	100	236	7062	1380	26	69	1	Training
Coast-Sardinia	Sardinia	1115	96	236	7085	1372	20	75	2	Training
East-Liguria	North	1290	60	260	7550	670	70	100	2	Training
East-Liguria	North	1100	90	250	7680	760	30	80	2	Training
East-Liguria	North	1120	70	240	7720	730	40	80	2	Training
East-Liguria	North	1200	50	210	7770	690	20	50	3	Training
East-Liguria	North	1220	80	240	7610	760	30	60	2	Training
East-Liguria	North	1180	90	250	7520	800	50	100	2	Training
East-Liguria	North	1210	70	250	7560	780	40	90	2	Training
East-Liguria	North	1220	80	220	7540	770	60	100	2	Training
East-Liguria	North	1180	100	190	7520	820	50	100	1	Training
East-Liguria	North	1160	90	220	7580	790	40	90	1	Training
East-Liguria	North	1080	100	260	7710	750	20	70	2	Training
East-Liguria	North	1090	90	280	7730	720	50	100	1	Training
East-Liguria	North	1020	100	270	7770	710	40	90	1	Training
East-Liguria	North	1090	90	250	7680	760	60	80	1	Training
East-Liguria	North	1080	80	240	7830	670	30	70	2	Training
East-Liguria	North	1160	70	230	7860	640	10	20	1	Training
East-Liguria	North	1100	80	240	7820	670	20	70	2	Training
East-Liguria	North	1050	100	250	7930	630	10	30	3	Training
East-Liguria	North	1090	90	270	7780	690	30	50	3	Training
East-Liguria	North	1120	80	260	7750	680	30	80	3	Training
East-Liguria	North	1120	100	250	7680	730	40	70	2	Training
East-Liguria	North	1190	90	230	7670	710	30	80	2	Training
East-Liguria	North	1170	110	250	7620	740	20	90	1	Training
East-Liguria	North	1120	100	230	7720	730	20	70	1	Training
East-Liguria	North	1400	90	270	7420	800	0	20	2	Training
East-Liguria	North	1350	80	250	7520	760	10	30	1	Training
East-Liguria	North	1090	60	220	7890	670	10	60	2	Training
East-Liguria	North	1150	90	230	7790	650	30	60	1	Training
East-Liguria	North	1240	90	220	7820	590	10	30	1	Training
East-Liguria	North	1220	100	240	7890	530	0	10	2	Training
East-Liguria	North	1170	110	240	7730	630	30	90	1	Training
East-Liguria	North	1180	80	220	7790	680	10	40	1	Training
East-Liguria	North	1140	90	240	7880	570	20	60	3	Training
East-Liguria	North	1160	70	210	7870	580	30	80	3	Training
East-Liguria	North	1130	80	250	7780	650	40	60	3	Training
East-Liguria	North	1110	70	240	7820	670	20	70	3	Training
East-Liguria	North	1180	80	240	7760	670	20	50	2	Training
East-Liguria	North	610	80	230	8410	650	0	20	3	Training
West-Liguria	North	1190	150	290	7340	1020	0	10	2	Training
West-Liguria	North	1110	130	210	7550	1000	0	0	1	Training
West-Liguria	North	1070	120	210	7600	990	0	10	3	Training
West-Liguria	North	1060	140	240	7680	830	10	40	2	Training
West-Liguria	North	1060	140	270	7620	880	10	20	1	Training
West-Liguria	North	1030	100	230	7740	900	0	0	2	Training
West-Liguria	North	1140	180	220	7610	850	10	10	2	Training
West-Liguria	North	1090	180	230	7590	860	10	40	2	Training
West-Liguria	North	980	110	300	7720	910	10	0	3	Training
West-Liguria	North	980	90	330	7540	1040	0	0	2	Training
West-Liguria	North	990	90	210	7780	930	0	0	2	Training
West-Liguria	North	1060	120	210	7600	1010	0	0	1	Training
West-Liguria	North	1240	150	250	7610	730	10	10	1	Training
West-Liguria	North	1060	90	310	7850	690	0	0	2	Training
West-Liguria	North	1180	130	220	7450	1010	0	10	2	Training
West-Liguria	North	1060	140	240	7690	850	10	10	1	Training
West-Liguria	North	990	100	250	7630	1030	0	0	3	Training
West-Liguria	North	1010	90	350	7630	940	10	0	3	Training
West-Liguria	North	1040	90	250	7780	820	10	10	1	Training
West-Liguria	North	1040	90	250	7810	810	10	10	2	Training
West-Liguria	North	1010	90	350	7610	930	10	0	3	Training
West-Liguria	North	920	110	340	7720	910	0	0	3	Training
West-Liguria	North	1030	100	250	7710	900	0	10	2	Training
West-Liguria	North	960	90	300	7820	830	0	0	3	Training
West-Liguria	North	1030	110	210	7810	840	0	0	1	Training
West-Liguria	North	1010	100	240	7710	910	10	20	2	Training
West-Liguria	North	1020	90	240	7800	850	0	0	2	Training
West-Liguria	North	1090	90	290	7710	800	10	0	2	Training
West-Liguria	North	1100	120	280	7630	770	10	10	2	Training
West-Liguria	North	1090	80	240	7820	760	10	0	2	Training
West-Liguria	North	1150	90	250	7720	810	0	10	3	Training
West-Liguria	North	1110	90	230	7810	750	0	10	2	Training
West-Liguria	North	1010	110	210	7720	950	0	0	1	Training
West-Liguria	North	1070	100	220	7730	870	10	10	2	Training
West-Liguria	North	1280	110	290	7490	790	10	10	2	Training
West-Liguria	North	1060	100	270	7740	810	10	10	3	Training
West-Liguria	North	990	120	250	7750	870	10	10	2	Training
West-Liguria	North	960	80	240	7950	740	10	20	2	Training
Umbria	North	1085	70	185	7955	600	25	55	1	Training
Umbria	North	1090	60	190	7950	600	28	47	2	Training
Umbria	North	1080	65	189	7960	602	35	20	1	Training
Umbria	North	1090	60	195	7955	600	28	42	2	Training
Umbria	North	1105	55	200	7900	600	37	55	2	Training
Umbria	North	1060	75	175	7975	610	20	55	2	Training
Umbria	North	1050	70	170	7977	605	28	65	1	Training
Umbria	North	1065	65	178	7965	605	22	65	2	Training
Umbria	North	1080	65	180	7960	605	25	55	1	Training
Umbria	North	1085	60	190	7955	602	30	53	1	Training
Umbria	North	1075	68	195	7960	602	20	40	3	Training
Umbria	North	1090	58	192	7950	600	35	40	3	Training
Umbria	North	1095	60	198	7945	600	38	34	2	Training
Umbria	North	1090	58	195	7950	600	30	42	2	Training
Umbria	North	1095	58	198	7950	602	35	32	1	Training
Umbria	North	1090	58	195	7940	600	35	42	2	Training
Umbria	North	1095	55	200	7940	600	35	45	3	Training
Umbria	North	1090	60	195	7950	600	32	38	2	Training
Umbria	North	1075	70	198	7978	608	28	33	2	Training
Umbria	North	1075	65	185	7980	608	35	42	3	Training
Umbria	North	1065	75	180	7975	610	25	50	3	Training
Umbria	North	1070	75	188	7980	602	22	45	2	Training
Umbria	North	1100	70	200	7910	610	39	44	1	Training
Umbria	North	1075	70	185	7960	610	22	58	2	Training
Umbria	North	1050	78	175	7990	610	18	59	3	Training
Umbria	North	1090	60	198	7945	600	32	35	2	Training
Umbria	North	1050	78	188	7990	608	28	23	3	Training
Umbria	North	1075	70	190	7975	605	28	27	3	Training
Umbria	North	1098	54	202	7945	595	42	32	2	Training
Umbria	North	1110	75	220	7915	510	55	65	2	Training
Umbria	North	1058	50	178	7988	626	40	55	3	Training
Umbria	North	1115	30	225	7955	600	55	15	2	Training
Umbria	North	1105	30	198	7995	570	52	20	3	Training
Umbria	North	1072	49	178	7980	615	48	48	2	Training
Umbria	North	1110	15	210	7990	570	50	20	2	Training
Umbria	North	1110	80	215	7910	525	50	60	1	Training
Umbria	North	1100	80	215	7930	535	45	60	2	Training
Umbria	North	1105	55	205	7965	600	25	20	2	Training
Umbria	North	1110	50	220	7950	600	52	10	2	Training
Umbria	North	1092	37	210	7955	600	40	40	3	Training
North-Apulia	South	952	49	254	7795	780	50	75	41	Test
North-Apulia	South	1036	59	235	7868	661	30	62	44	Test
North-Apulia	South	1075	75	226	7823	672	36	60	29	Test
North-Apulia	South	995	46	288	7806	679	56	86	40	Test
North-Apulia	South	1155	98	201	7606	816	32	60	29	Test
North-Apulia	South	922	66	264	7990	618	49	56	29	Test
Calabria	South	1296	136	260	7380	780	48	51	18	Test
Calabria	South	1260	102	228	7354	870	49	64	28	Test
Calabria	South	1235	138	252	7322	861	54	66	36	Test
Calabria	South	1278	87	332	7379	771	44	53	24	Test
Calabria	South	1287	108	287	7343	826	44	44	23	Test
Calabria	South	1432	152	281	7029	949	39	55	25	Test
Calabria	South	1340	114	189	7337	820	48	72	21	Test
