"Gender"	"Provinces"	"Periodo"	"Situation"	"value"
"Females"	"50 Zaragoza"	"2014Q4"	"active"	217.6
"Males"	"51 Ceuta"	"2014Q4"	"active"	23.9
"Females"	"51 Ceuta"	"2014Q4"	"active"	15.5
"Males"	"52 Melilla"	"2014Q4"	"active"	19.5
"Females"	"52 Melilla"	"2014Q4"	"active"	14.9
"Males"	"02 Albacete"	"2014Q3"	"active"	103.5
"Females"	"02 Albacete"	"2014Q3"	"active"	83
"Males"	"03 Alicante/Alacant"	"2014Q3"	"active"	486.1
"Females"	"03 Alicante/Alacant"	"2014Q3"	"active"	401.6
"Males"	"04 Almería"	"2014Q3"	"active"	199.4
"Females"	"04 Almería"	"2014Q3"	"active"	148.5
"Males"	"01 Araba/Álava"	"2014Q3"	"active"	84.1
"Females"	"01 Araba/Álava"	"2014Q3"	"active"	74.1
"Males"	"33 Asturias"	"2014Q3"	"active"	248.5
"Females"	"33 Asturias"	"2014Q3"	"active"	231.5
"Males"	"05 Ávila"	"2014Q3"	"active"	43.6
"Females"	"05 Ávila"	"2014Q3"	"active"	31.2
"Males"	"06 Badajoz"	"2014Q3"	"active"	179.6
"Females"	"06 Badajoz"	"2014Q3"	"active"	135.3
"Males"	"07 Balears, Illes"	"2014Q3"	"active"	341.6
"Females"	"07 Balears, Illes"	"2014Q3"	"active"	292.1
"Males"	"08 Barcelona"	"2014Q3"	"active"	1446.6
"Females"	"08 Barcelona"	"2014Q3"	"active"	1327.4
"Males"	"48 Bizkaia"	"2014Q3"	"active"	288.6
"Females"	"48 Bizkaia"	"2014Q3"	"active"	246.4
"Males"	"09 Burgos"	"2014Q3"	"active"	101.5
"Females"	"09 Burgos"	"2014Q3"	"active"	80.4
"Males"	"10 Cáceres"	"2014Q3"	"active"	107.5
"Females"	"10 Cáceres"	"2014Q3"	"active"	85.2
"Males"	"11 Cádiz"	"2014Q3"	"active"	326.5
"Females"	"11 Cádiz"	"2014Q3"	"active"	266.6
"Males"	"39 Cantabria"	"2014Q3"	"active"	154
"Females"	"39 Cantabria"	"2014Q3"	"active"	130.2
"Males"	"12 Castellón/Castelló"	"2014Q3"	"active"	156.1
"Females"	"12 Castellón/Castelló"	"2014Q3"	"active"	128
"Males"	"13 Ciudad Real"	"2014Q3"	"active"	143
"Females"	"13 Ciudad Real"	"2014Q3"	"active"	104.8
"Males"	"14 Córdoba"	"2014Q3"	"active"	210.1
"Females"	"14 Córdoba"	"2014Q3"	"active"	160.2
"Males"	"15 Coruña, A"	"2014Q3"	"active"	285.3
"Females"	"15 Coruña, A"	"2014Q3"	"active"	257.2
"Males"	"16 Cuenca"	"2014Q3"	"active"	56
"Females"	"16 Cuenca"	"2014Q3"	"active"	37
"Males"	"20 Gipuzkoa"	"2014Q3"	"active"	176
"Females"	"20 Gipuzkoa"	"2014Q3"	"active"	150.3
"Males"	"17 Girona"	"2014Q3"	"active"	215.7
"Females"	"17 Girona"	"2014Q3"	"active"	180.4
"Males"	"18 Granada"	"2014Q3"	"active"	243.4
"Females"	"18 Granada"	"2014Q3"	"active"	202.4
"Males"	"19 Guadalajara"	"2014Q3"	"active"	73.7
"Females"	"19 Guadalajara"	"2014Q3"	"active"	59.8
"Males"	"21 Huelva"	"2014Q3"	"active"	138
"Females"	"21 Huelva"	"2014Q3"	"active"	109.6
"Males"	"22 Huesca"	"2014Q3"	"active"	56.9
"Females"	"22 Huesca"	"2014Q3"	"active"	51.1
"Males"	"23 Jaén"	"2014Q3"	"active"	167.2
"Females"	"23 Jaén"	"2014Q3"	"active"	126.5
"Males"	"24 León"	"2014Q3"	"active"	117
"Females"	"24 León"	"2014Q3"	"active"	97.9
"Males"	"25 Lleida"	"2014Q3"	"active"	119.7
"Females"	"25 Lleida"	"2014Q3"	"active"	95.4
"Males"	"27 Lugo"	"2014Q3"	"active"	81.3
"Females"	"27 Lugo"	"2014Q3"	"active"	72.2
"Males"	"28 Madrid"	"2014Q3"	"active"	1739.9
"Females"	"28 Madrid"	"2014Q3"	"active"	1589.9
"Males"	"29 Málaga"	"2014Q3"	"active"	434.6
"Females"	"29 Málaga"	"2014Q3"	"active"	368.2
"Males"	"30 Murcia"	"2014Q3"	"active"	405.1
"Females"	"30 Murcia"	"2014Q3"	"active"	314.7
"Males"	"31 Navarra"	"2014Q3"	"active"	167.5
"Females"	"31 Navarra"	"2014Q3"	"active"	142.1
"Males"	"32 Ourense"	"2014Q3"	"active"	69.2
"Females"	"32 Ourense"	"2014Q3"	"active"	63.5
"Males"	"34 Palencia"	"2014Q3"	"active"	43.3
"Females"	"34 Palencia"	"2014Q3"	"active"	32.6
"Males"	"35 Palmas, Las"	"2014Q3"	"active"	309.1
"Females"	"35 Palmas, Las"	"2014Q3"	"active"	257.7
"Males"	"36 Pontevedra"	"2014Q3"	"active"	238.7
"Females"	"36 Pontevedra"	"2014Q3"	"active"	208.3
"Males"	"26 Rioja, La"	"2014Q3"	"active"	86
"Females"	"26 Rioja, La"	"2014Q3"	"active"	73.6
"Males"	"37 Salamanca"	"2014Q3"	"active"	84.9
"Females"	"37 Salamanca"	"2014Q3"	"active"	72.7
"Males"	"38 Santa Cruz de Tenerife"	"2014Q3"	"active"	275
"Females"	"38 Santa Cruz de Tenerife"	"2014Q3"	"active"	244.4
"Males"	"40 Segovia"	"2014Q3"	"active"	44.1
"Females"	"40 Segovia"	"2014Q3"	"active"	34.1
"Males"	"41 Sevilla"	"2014Q3"	"active"	502.9
"Females"	"41 Sevilla"	"2014Q3"	"active"	426.1
"Males"	"42 Soria"	"2014Q3"	"active"	24.6
"Females"	"42 Soria"	"2014Q3"	"active"	19.7
"Males"	"43 Tarragona"	"2014Q3"	"active"	227.9
"Females"	"43 Tarragona"	"2014Q3"	"active"	187.5
"Males"	"44 Teruel"	"2014Q3"	"active"	36.6
"Females"	"44 Teruel"	"2014Q3"	"active"	27.4
"Males"	"45 Toledo"	"2014Q3"	"active"	196.5
"Females"	"45 Toledo"	"2014Q3"	"active"	144.4
"Males"	"46 Valencia/València"	"2014Q3"	"active"	673.1
"Females"	"46 Valencia/València"	"2014Q3"	"active"	559.2
"Males"	"47 Valladolid"	"2014Q3"	"active"	138.7
"Females"	"47 Valladolid"	"2014Q3"	"active"	113.7
"Males"	"49 Zamora"	"2014Q3"	"active"	47.8
"Females"	"49 Zamora"	"2014Q3"	"active"	37.4
"Males"	"50 Zaragoza"	"2014Q3"	"active"	260.9
"Females"	"50 Zaragoza"	"2014Q3"	"active"	219
"Males"	"51 Ceuta"	"2014Q3"	"active"	24
"Females"	"51 Ceuta"	"2014Q3"	"active"	14.8
"Males"	"52 Melilla"	"2014Q3"	"active"	18.5
"Females"	"52 Melilla"	"2014Q3"	"active"	14.9
"Males"	"02 Albacete"	"2014Q2"	"active"	103.3
"Females"	"02 Albacete"	"2014Q2"	"active"	84.4
"Males"	"03 Alicante/Alacant"	"2014Q2"	"active"	490.9
"Females"	"03 Alicante/Alacant"	"2014Q2"	"active"	405.8
"Males"	"04 Almería"	"2014Q2"	"active"	201.8
"Females"	"04 Almería"	"2014Q2"	"active"	151.8
"Males"	"01 Araba/Álava"	"2014Q2"	"active"	86.9
"Females"	"01 Araba/Álava"	"2014Q2"	"active"	76.6
"Males"	"33 Asturias"	"2014Q2"	"active"	247.3
"Females"	"33 Asturias"	"2014Q2"	"active"	227.2
"Males"	"05 Ávila"	"2014Q2"	"active"	43.7
"Females"	"05 Ávila"	"2014Q2"	"active"	31.9
"Males"	"06 Badajoz"	"2014Q2"	"active"	178.4
"Females"	"06 Badajoz"	"2014Q2"	"active"	136.1
"Males"	"07 Balears, Illes"	"2014Q2"	"active"	334.4
"Females"	"07 Balears, Illes"	"2014Q2"	"active"	285.4
"Males"	"08 Barcelona"	"2014Q2"	"active"	1448.6
"Females"	"08 Barcelona"	"2014Q2"	"active"	1342.2
"Males"	"48 Bizkaia"	"2014Q2"	"active"	286.9
"Females"	"48 Bizkaia"	"2014Q2"	"active"	257.6
"Males"	"09 Burgos"	"2014Q2"	"active"	102.1
"Females"	"09 Burgos"	"2014Q2"	"active"	81.2
"Males"	"10 Cáceres"	"2014Q2"	"active"	105.6
"Females"	"10 Cáceres"	"2014Q2"	"active"	81.8
"Males"	"11 Cádiz"	"2014Q2"	"active"	326.6
"Females"	"11 Cádiz"	"2014Q2"	"active"	265.4
"Males"	"39 Cantabria"	"2014Q2"	"active"	152
"Females"	"39 Cantabria"	"2014Q2"	"active"	127.3
"Males"	"12 Castellón/Castelló"	"2014Q2"	"active"	159
"Females"	"12 Castellón/Castelló"	"2014Q2"	"active"	129.4
"Males"	"13 Ciudad Real"	"2014Q2"	"active"	139.9
"Females"	"13 Ciudad Real"	"2014Q2"	"active"	102.6
"Males"	"14 Córdoba"	"2014Q2"	"active"	207.7
"Females"	"14 Córdoba"	"2014Q2"	"active"	161.8
"Males"	"15 Coruña, A"	"2014Q2"	"active"	282.3
"Females"	"15 Coruña, A"	"2014Q2"	"active"	259.9
"Males"	"16 Cuenca"	"2014Q2"	"active"	56.5
"Females"	"16 Cuenca"	"2014Q2"	"active"	39.8
"Males"	"20 Gipuzkoa"	"2014Q2"	"active"	177.4
"Females"	"20 Gipuzkoa"	"2014Q2"	"active"	152.9
"Males"	"17 Girona"	"2014Q2"	"active"	213.8
"Females"	"17 Girona"	"2014Q2"	"active"	181.6
"Males"	"18 Granada"	"2014Q2"	"active"	247.3
"Females"	"18 Granada"	"2014Q2"	"active"	199.4
"Males"	"19 Guadalajara"	"2014Q2"	"active"	73.6
"Females"	"19 Guadalajara"	"2014Q2"	"active"	61.2
"Males"	"21 Huelva"	"2014Q2"	"active"	142
"Females"	"21 Huelva"	"2014Q2"	"active"	115.4
"Males"	"22 Huesca"	"2014Q2"	"active"	57.5
"Females"	"22 Huesca"	"2014Q2"	"active"	48.1
"Males"	"23 Jaén"	"2014Q2"	"active"	164.7
"Females"	"23 Jaén"	"2014Q2"	"active"	126.1
"Males"	"24 León"	"2014Q2"	"active"	117.7
"Females"	"24 León"	"2014Q2"	"active"	99
"Males"	"25 Lleida"	"2014Q2"	"active"	119.4
"Females"	"25 Lleida"	"2014Q2"	"active"	97.4
"Males"	"27 Lugo"	"2014Q2"	"active"	80.8
"Females"	"27 Lugo"	"2014Q2"	"active"	74.4
"Males"	"28 Madrid"	"2014Q2"	"active"	1726.4
"Females"	"28 Madrid"	"2014Q2"	"active"	1593.9
"Males"	"29 Málaga"	"2014Q2"	"active"	427
"Females"	"29 Málaga"	"2014Q2"	"active"	366.4
"Males"	"30 Murcia"	"2014Q2"	"active"	403
"Females"	"30 Murcia"	"2014Q2"	"active"	319.8
"Males"	"31 Navarra"	"2014Q2"	"active"	169.5
"Females"	"31 Navarra"	"2014Q2"	"active"	142
"Males"	"32 Ourense"	"2014Q2"	"active"	68.7
"Females"	"32 Ourense"	"2014Q2"	"active"	63.9
"Males"	"34 Palencia"	"2014Q2"	"active"	41.9
"Females"	"34 Palencia"	"2014Q2"	"active"	32.3
"Males"	"35 Palmas, Las"	"2014Q2"	"active"	311.9
"Females"	"35 Palmas, Las"	"2014Q2"	"active"	262.5
"Males"	"36 Pontevedra"	"2014Q2"	"active"	235.1
"Females"	"36 Pontevedra"	"2014Q2"	"active"	210.7
"Males"	"26 Rioja, La"	"2014Q2"	"active"	85.2
"Females"	"26 Rioja, La"	"2014Q2"	"active"	72.1
"Males"	"37 Salamanca"	"2014Q2"	"active"	84.5
"Females"	"37 Salamanca"	"2014Q2"	"active"	72.8
"Males"	"38 Santa Cruz de Tenerife"	"2014Q2"	"active"	278.3
"Females"	"38 Santa Cruz de Tenerife"	"2014Q2"	"active"	239.2
"Males"	"40 Segovia"	"2014Q2"	"active"	44.2
"Females"	"40 Segovia"	"2014Q2"	"active"	34.5
"Males"	"41 Sevilla"	"2014Q2"	"active"	493.4
"Females"	"41 Sevilla"	"2014Q2"	"active"	434.1
"Males"	"42 Soria"	"2014Q2"	"active"	23.8
"Females"	"42 Soria"	"2014Q2"	"active"	20.5
"Males"	"43 Tarragona"	"2014Q2"	"active"	222.5
"Females"	"43 Tarragona"	"2014Q2"	"active"	184.9
"Males"	"44 Teruel"	"2014Q2"	"active"	36
"Females"	"44 Teruel"	"2014Q2"	"active"	27.9
"Males"	"45 Toledo"	"2014Q2"	"active"	196.1
"Females"	"45 Toledo"	"2014Q2"	"active"	147.3
"Males"	"46 Valencia/València"	"2014Q2"	"active"	689.5
"Females"	"46 Valencia/València"	"2014Q2"	"active"	571.8
"Males"	"47 Valladolid"	"2014Q2"	"active"	138.2
"Females"	"47 Valladolid"	"2014Q2"	"active"	114.7
"Males"	"49 Zamora"	"2014Q2"	"active"	45.3
"Females"	"49 Zamora"	"2014Q2"	"active"	36.4
"Males"	"50 Zaragoza"	"2014Q2"	"active"	263.1
"Females"	"50 Zaragoza"	"2014Q2"	"active"	221.6
"Males"	"51 Ceuta"	"2014Q2"	"active"	22.2
"Females"	"51 Ceuta"	"2014Q2"	"active"	15
"Males"	"52 Melilla"	"2014Q2"	"active"	19.2
"Females"	"52 Melilla"	"2014Q2"	"active"	14.8
"Males"	"02 Albacete"	"2014Q1"	"active"	102.8
"Females"	"02 Albacete"	"2014Q1"	"active"	85.3
"Males"	"03 Alicante/Alacant"	"2014Q1"	"active"	484.4
"Females"	"03 Alicante/Alacant"	"2014Q1"	"active"	403.9
"Males"	"04 Almería"	"2014Q1"	"active"	207.3
"Females"	"04 Almería"	"2014Q1"	"active"	154.5
"Males"	"01 Araba/Álava"	"2014Q1"	"active"	84.5
"Females"	"01 Araba/Álava"	"2014Q1"	"active"	77.5
"Males"	"33 Asturias"	"2014Q1"	"active"	251.5
"Females"	"33 Asturias"	"2014Q1"	"active"	228.9
"Males"	"05 Ávila"	"2014Q1"	"active"	44.6
"Females"	"05 Ávila"	"2014Q1"	"active"	32.3
"Males"	"06 Badajoz"	"2014Q1"	"active"	176.2
"Females"	"06 Badajoz"	"2014Q1"	"active"	138
"Males"	"07 Balears, Illes"	"2014Q1"	"active"	310.8
"Females"	"07 Balears, Illes"	"2014Q1"	"active"	260.2
"Males"	"08 Barcelona"	"2014Q1"	"active"	1461.4
"Females"	"08 Barcelona"	"2014Q1"	"active"	1347.3
"Males"	"48 Bizkaia"	"2014Q1"	"active"	284.1
"Females"	"48 Bizkaia"	"2014Q1"	"active"	257
"Males"	"09 Burgos"	"2014Q1"	"active"	98.7
"Females"	"09 Burgos"	"2014Q1"	"active"	83.2
"Males"	"10 Cáceres"	"2014Q1"	"active"	103
"Females"	"10 Cáceres"	"2014Q1"	"active"	82.7
"Males"	"11 Cádiz"	"2014Q1"	"active"	326.4
"Females"	"11 Cádiz"	"2014Q1"	"active"	261.7
"Males"	"39 Cantabria"	"2014Q1"	"active"	150.6
"Females"	"39 Cantabria"	"2014Q1"	"active"	128.1
"Males"	"12 Castellón/Castelló"	"2014Q1"	"active"	154.7
"Females"	"12 Castellón/Castelló"	"2014Q1"	"active"	132.1
"Males"	"13 Ciudad Real"	"2014Q1"	"active"	138.5
"Females"	"13 Ciudad Real"	"2014Q1"	"active"	103.9
"Males"	"14 Córdoba"	"2014Q1"	"active"	208.1
"Females"	"14 Córdoba"	"2014Q1"	"active"	167.9
"Males"	"15 Coruña, A"	"2014Q1"	"active"	278.8
"Females"	"15 Coruña, A"	"2014Q1"	"active"	257.8
"Males"	"16 Cuenca"	"2014Q1"	"active"	58.1
"Females"	"16 Cuenca"	"2014Q1"	"active"	40.1
"Males"	"20 Gipuzkoa"	"2014Q1"	"active"	175.9
"Females"	"20 Gipuzkoa"	"2014Q1"	"active"	151.5
"Males"	"17 Girona"	"2014Q1"	"active"	206.1
"Females"	"17 Girona"	"2014Q1"	"active"	179.8
"Males"	"18 Granada"	"2014Q1"	"active"	240.5
"Females"	"18 Granada"	"2014Q1"	"active"	197.5
"Males"	"19 Guadalajara"	"2014Q1"	"active"	72.4
"Females"	"19 Guadalajara"	"2014Q1"	"active"	59.3
"Males"	"21 Huelva"	"2014Q1"	"active"	134.1
"Females"	"21 Huelva"	"2014Q1"	"active"	106.4
"Males"	"22 Huesca"	"2014Q1"	"active"	58.8
"Females"	"22 Huesca"	"2014Q1"	"active"	46.3
"Males"	"23 Jaén"	"2014Q1"	"active"	170.1
"Females"	"23 Jaén"	"2014Q1"	"active"	130.4
"Males"	"24 León"	"2014Q1"	"active"	113.2
"Females"	"24 León"	"2014Q1"	"active"	98.8
"Males"	"25 Lleida"	"2014Q1"	"active"	118.6
"Females"	"25 Lleida"	"2014Q1"	"active"	92.6
"Males"	"27 Lugo"	"2014Q1"	"active"	82.9
"Females"	"27 Lugo"	"2014Q1"	"active"	76.3
"Males"	"28 Madrid"	"2014Q1"	"active"	1705.2
"Females"	"28 Madrid"	"2014Q1"	"active"	1607.8
"Males"	"29 Málaga"	"2014Q1"	"active"	423
"Females"	"29 Málaga"	"2014Q1"	"active"	359.4
"Males"	"30 Murcia"	"2014Q1"	"active"	404.8
"Females"	"30 Murcia"	"2014Q1"	"active"	318.5
"Males"	"31 Navarra"	"2014Q1"	"active"	170.1
"Females"	"31 Navarra"	"2014Q1"	"active"	144
"Males"	"32 Ourense"	"2014Q1"	"active"	68.9
"Females"	"32 Ourense"	"2014Q1"	"active"	64.2
"Males"	"34 Palencia"	"2014Q1"	"active"	41.8
"Females"	"34 Palencia"	"2014Q1"	"active"	32.7
"Males"	"35 Palmas, Las"	"2014Q1"	"active"	314.1
"Females"	"35 Palmas, Las"	"2014Q1"	"active"	263.9
"Males"	"36 Pontevedra"	"2014Q1"	"active"	239.9
"Females"	"36 Pontevedra"	"2014Q1"	"active"	211
"Males"	"26 Rioja, La"	"2014Q1"	"active"	84.4
"Females"	"26 Rioja, La"	"2014Q1"	"active"	71.5
"Males"	"37 Salamanca"	"2014Q1"	"active"	84.3
"Females"	"37 Salamanca"	"2014Q1"	"active"	71.7
"Males"	"38 Santa Cruz de Tenerife"	"2014Q1"	"active"	272.6
"Females"	"38 Santa Cruz de Tenerife"	"2014Q1"	"active"	242.9
"Males"	"40 Segovia"	"2014Q1"	"active"	44.8
"Females"	"40 Segovia"	"2014Q1"	"active"	33.9
"Males"	"41 Sevilla"	"2014Q1"	"active"	490.4
"Females"	"41 Sevilla"	"2014Q1"	"active"	438.3
"Males"	"42 Soria"	"2014Q1"	"active"	24.3
"Females"	"42 Soria"	"2014Q1"	"active"	20.3
"Males"	"43 Tarragona"	"2014Q1"	"active"	219.7
"Females"	"43 Tarragona"	"2014Q1"	"active"	175.4
"Males"	"44 Teruel"	"2014Q1"	"active"	36.1
"Females"	"44 Teruel"	"2014Q1"	"active"	26.6
"Males"	"45 Toledo"	"2014Q1"	"active"	200.5
"Females"	"45 Toledo"	"2014Q1"	"active"	151
"Males"	"46 Valencia/València"	"2014Q1"	"active"	677.1
"Females"	"46 Valencia/València"	"2014Q1"	"active"	583.6
"Males"	"47 Valladolid"	"2014Q1"	"active"	138.3
"Females"	"47 Valladolid"	"2014Q1"	"active"	115.7
"Males"	"49 Zamora"	"2014Q1"	"active"	44.1
"Females"	"49 Zamora"	"2014Q1"	"active"	36.1
"Males"	"50 Zaragoza"	"2014Q1"	"active"	258.1
"Females"	"50 Zaragoza"	"2014Q1"	"active"	223.5
"Males"	"51 Ceuta"	"2014Q1"	"active"	22.5
"Females"	"51 Ceuta"	"2014Q1"	"active"	14.4
"Males"	"52 Melilla"	"2014Q1"	"active"	19.9
"Females"	"52 Melilla"	"2014Q1"	"active"	14.3
"Males"	"02 Albacete"	"2013Q4"	"active"	104.4
"Females"	"02 Albacete"	"2013Q4"	"active"	84.7
"Males"	"03 Alicante/Alacant"	"2013Q4"	"active"	499
"Females"	"03 Alicante/Alacant"	"2013Q4"	"active"	409.4
"Males"	"04 Almería"	"2013Q4"	"active"	205.2
"Females"	"04 Almería"	"2013Q4"	"active"	152.9
"Males"	"01 Araba/Álava"	"2013Q4"	"active"	87.6
"Females"	"01 Araba/Álava"	"2013Q4"	"active"	75.8
"Males"	"33 Asturias"	"2013Q4"	"active"	256.3
"Females"	"33 Asturias"	"2013Q4"	"active"	227.9
"Males"	"05 Ávila"	"2013Q4"	"active"	46.1
"Females"	"05 Ávila"	"2013Q4"	"active"	32.8
"Males"	"06 Badajoz"	"2013Q4"	"active"	175.4
"Females"	"06 Badajoz"	"2013Q4"	"active"	142.6
"Males"	"07 Balears, Illes"	"2013Q4"	"active"	324.8
"Females"	"07 Balears, Illes"	"2013Q4"	"active"	263.6
"Males"	"08 Barcelona"	"2013Q4"	"active"	1473.9
"Females"	"08 Barcelona"	"2013Q4"	"active"	1342.4
"Males"	"48 Bizkaia"	"2013Q4"	"active"	286.9
"Females"	"48 Bizkaia"	"2013Q4"	"active"	263.6
"Males"	"09 Burgos"	"2013Q4"	"active"	100.6
"Females"	"09 Burgos"	"2013Q4"	"active"	78.2
"Males"	"10 Cáceres"	"2013Q4"	"active"	105.6
"Females"	"10 Cáceres"	"2013Q4"	"active"	82.9
"Males"	"11 Cádiz"	"2013Q4"	"active"	318.5
"Females"	"11 Cádiz"	"2013Q4"	"active"	256.1
"Males"	"39 Cantabria"	"2013Q4"	"active"	153.1
"Females"	"39 Cantabria"	"2013Q4"	"active"	128.9
"Males"	"12 Castellón/Castelló"	"2013Q4"	"active"	156.5
"Females"	"12 Castellón/Castelló"	"2013Q4"	"active"	130.6
"Males"	"13 Ciudad Real"	"2013Q4"	"active"	139.1
"Females"	"13 Ciudad Real"	"2013Q4"	"active"	102.3
"Males"	"14 Córdoba"	"2013Q4"	"active"	208.2
"Females"	"14 Córdoba"	"2013Q4"	"active"	172.8
